0.2	6.7	6.1	6.1	6
1.3	3.7	4.1	10.2	5.6
0.5	6.3	6.2	8.7	6.1
1.1	3.7	7	12.5	5.8
11	17.6	23.9	25.1	9.6
0.1	7	9.3	17.3	6.8
25	23.2	26.5	23.9	10.8
0.4	7.5	10	14.6	6.7
19	22.3	21.9	21.7	9.7
0.4	1.8	1.9	7.1	5.4
15.4	21.2	20.6	17.7	9.1
0.2	7.4	6.3	12.7	6.4
15.7	21.4	23	25.4	10
1.5	5.7	8	18.1	6.5
0.1	1.8	3.1	7.3	5.4
2.5	3.8	5	5.6	5.6
22.5	20.9	24.6	27.7	10.7
15.6	21	20.6	17.6	9.1
20.2	24.1	24.5	22.7	10.5
8	16.3	20.1	27.1	9.1
0.8	1	2.8	11.5	5.5
-0.1	4.1	4.8	9.8	5.9
2.7	7.1	7.7	9.7	6.5
-0.1	5.2	4.6	9.2	5.8
18.1	22.8	25.2	28.1	10.5
20.4	24	23.5	20.5	10.2
-0.4	4.5	13.1	17.1	6.2
1.4	1.5	2	8.6	5.4
19.6	24.2	24.6	24.1	10.6
-0.9	9.3	12.2	14.8	6.4
18	23	22	19.4	9.6
1.1	3.8	3.9	9.2	5.7
32.5	22.3	22.5	20.2	9.7
0.6	6	6.3	8.8	6.1
19	22.2	21.7	18.1	9.4
0.3	1.5	4.8	13.7	5.8
0.2	4.9	4.8	10	5.8
20.6	20.9	23.2	25.2	10.2
-0.5	0.4	6.1	13.4	5.6
1	3.8	4	8.4	5.7
2.3	7.7	8.2	11.1	6.5
0	7.8	13.4	19.9	6.8
-0.2	6.7	6.1	10	6
0.9	2.5	3.3	9.5	5.5
11	18.1	20.8	24.2	9.3
23.6	20.7	26.5	27.5	10.6
0.8	6.7	6.8	7.4	6.2
17.6	21.7	20.9	17.5	9.1
1.2	1.8	2.4	8.1	5.4
0.6	8.7	12.5	13.2	6.4
18.6	22.3	22.5	21.5	9.8
1.2	3.9	5.9	12.5	6.1
13.8	19.3	24.5	27.4	10.5
2.3	4.4	4.6	9	5.9
32.5	23.2	23.1	19.5	9.9
12.7	18.2	19.4	29.7	9.5
16.4	20.8	23.3	27.5	10.4
16.9	21.2	20.8	19.4	9.3
0	7.2	6.9	15.4	6.6
0.8	2.5	3.4	8.8	5.5
-0.2	6.5	5.3	11.9	6.1
24.2	24.2	24.5	21.6	10.5
1.1	4.5	4.2	10.3	5.7
-0.1	-0.6	7.6	13.2	5.7
17.7	22.5	22.5	22.5	9.8
-0.9	1	5.7	13.6	5.7
0.9	5.5	5.6	11.5	6.1
-0.1	0.4	6.4	12	5.5
-0.5	3.2	10.8	17.3	6.2
13.6	21.5	20.9	17.8	9.1
11.4	19	18.8	20.4	8.8
17.6	21.1	20.5	18.5	9.1
1.5	6.5	6	7.1	6.1
31.8	20.3	25.6	27.9	10.4
4.6	15.7	19.5	26.1	9.5
0.8	1.9	4	10.7	5.5
20.3	24.1	23.4	20.3	10.2
18.7	21.7	21.2	17.1	9.2
2.4	15.7	19.3	26.7	9.1
1.6	2.1	3.3	8.9	5.5
21.2	20.8	25.3	26.9	10.5
23.4	23.5	24	21.3	10.2
11.7	16.8	22.3	26.6	10
32.2	21.4	21.8	24.7	9.8
14	20.5	19.9	16.1	8.8
1.1	4.6	5.2	10.6	6.2
3.1	4.2	3.3	7	5.7
0.1	2.9	6.7	14.8	5.9
12.6	17.5	24.5	26.7	9.7
2	8.7	7.9	10	6.7
23.1	21.9	24.3	26.4	10.8
